race_date,race_code,umaban,bamei,chaku,odds_fin
2026-08-16,2026081601010803,11,テンレディーゴー,2,9.0000000000000000
2026-08-16,2026081601010803,13,コウギョク,4,8.3000000000000000
2026-08-16,2026081601010806,12,メイショウホダワラ,8,36.1000000000000000
2026-08-16,2026081601010806,8,ビタミンドロップ,10,7.7000000000000000
2026-08-16,2026081601010806,1,ジュジュドール,11,90.9000000000000000
2026-08-16,2026081601010807,9,メイショウライガ,3,35.6000000000000000
2026-08-16,2026081601010807,5,デイズインザサン,2,13.4000000000000000
2026-08-16,2026081601010807,7,マコトアディントン,7,4.7000000000000000
2026-08-16,2026081601010807,1,ルクスユアン,15,88.1000000000000000
2026-08-16,2026081601010807,13,ヤクジョ,9,18.9000000000000000
2026-08-16,2026081601010807,2,クールフィデル,5,9.1000000000000000
2026-08-16,2026081601010807,6,ロッサコメータ,11,7.3000000000000000
2026-08-16,2026081601010807,8,アームアンフルール,10,140.7000000000000000
2026-08-16,2026081601010807,11,ホウオウワイズ,13,108.6000000000000000
2026-08-16,2026081601010808,5,ロードアルディート,3,10.9000000000000000
2026-08-16,2026081601010808,4,グレイスフルマーチ,2,4.8000000000000000
2026-08-16,2026081601010808,7,タイキインドラ,1,2.7000000000000000
2026-08-16,2026081601010808,2,タイセイジェイド,5,4.6000000000000000
2026-08-16,2026081601010808,11,カフェブーケット,9,51.7000000000000000
2026-08-16,2026081601010808,8,ファミーユウルーズ,7,147.6000000000000000
2026-08-16,2026081601010809,8,ユーティジャーニー,6,8.1000000000000000
2026-08-16,2026081601010809,3,エコロハート,9,6.0000000000000000
2026-08-16,2026081601010809,7,ブライアーヒル,14,107.5000000000000000
2026-08-16,2026081601010809,9,フィオラーノ,15,14.1000000000000000
2026-08-16,2026081601010810,1,カッタッパ,12,44.2000000000000000
2026-08-16,2026081601010811,12,ゼンダンハヤブサ,11,77.0000000000000000
2026-08-16,2026081601010812,12,ジュンツバメガエシ,2,9.3000000000000000
2026-08-16,2026081601010812,11,ライフセービング,10,54.7000000000000000
2026-08-16,2026081601010812,5,パープルクラウド,14,313.9000000000000000
2026-08-16,2026081601010811,10,アドマイヤテラ,9,4.4000000000000000
2026-08-16,2026081601010812,13,ラーシャローム,3,25.0000000000000000
2026-08-16,2026081601010812,7,ブリヤディアマンテ,4,156.4000000000000000
2026-08-16,2026081601010812,8,レイデラルース,11,99.9000000000000000
2026-08-16,2026081601010812,10,ドッビアーコ,8,221.2000000000000000
2026-08-16,2026081601010812,14,リアルファインド,13,47.3000000000000000
2026-08-16,2026081601010812,6,アスクデッドヒート,7,15.9000000000000000
2026-08-16,2026081601010812,4,マイネルゼウス,12,45.9000000000000000
